category,benchmark,tool,caller_class,caller_method,callee_receiver,callee_method
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,<init>
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,add
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,size
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,moveToState,android.support.v4.app.FragmentManagerImpl,moveToState
Aliasing,Merge1,FlowDroid,android.support.v4.app.NavUtils,getParentActivityName,android.app.Activity,getComponentName
Aliasing,Merge1,FlowDroid,android.support.v4.app.NavUtils,getParentActivityName,android.content.Context,getPackageManager
Aliasing,Merge1,FlowDroid,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,FlowDroid,android.support.v4.app.NavUtils$NavUtilsImplJB,getParentActivityName,android.support.v4.app.NavUtils$NavUtilsImplBase,getParentActivityName
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivity,onContentChanged,android.support.v7.app.ActionBarActivityDelegate,onContentChanged
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivity,onCreate,android.support.v7.app.ActionBarActivityDelegate,createDelegate
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivity,setContentView,android.support.v7.app.ActionBarActivityDelegate,setContentView
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivity,superSetContentView,android.app.Activity,setContentView
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,createDelegate,android.support.v7.app.ActionBarActivityDelegateJBMR2,<init>
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.app.Activity,getComponentName
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.ContextWrapper,getPackageManager
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.Context,obtainStyledAttributes
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,getBoolean
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,hasValue
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,recycle
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.support.v4.app.NavUtils,getParentActivityName
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,createWindowCallbackWrapper,android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper,<init>
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onContentChanged,android.support.v7.app.ActionBarActivity,onSupportContentChanged
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.app.Activity,getWindow
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.app.Activity,requestWindowFeature
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.support.v7.app.ActionBarActivityDelegateICS,createWindowCallbackWrapper
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,java.lang.String,equals
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS,setContentView,android.support.v7.app.ActionBarActivity,superSetContentView
Aliasing,Merge1,FlowDroid,android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper,onWindowAttributesChanged,android.view.Window$Callback,onWindowAttributesChanged
Aliasing,Merge1,FlowDroid,de.ecspride.MainActivity,aliasFlowTest,android.telephony.SmsManager,sendTextMessage
Aliasing,Merge1,FlowDroid,de.ecspride.MainActivity,aliasFlowTest,android.telephony.TelephonyManager,getDeviceId
Aliasing,Merge1,FlowDroid,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentManager,beginTransaction
Aliasing,Merge1,FlowDroid,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,add
Aliasing,Merge1,FlowDroid,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,commit
Aliasing,Merge1,GATOR,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory
Aliasing,Merge1,GATOR,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory
Aliasing,Merge1,GATOR,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,GATOR,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,GATOR,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback
Aliasing,Merge1,GATOR,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,add,android.support.v4.app.BackStackRecord,doAddOp
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,commit,android.support.v4.app.BackStackRecord,commitInternal
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,commitInternal,android.support.v4.app.FragmentManagerImpl,enqueueAction
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,doAddOp,android.support.v4.app.BackStackRecord,addOp
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,doAddOp,android.support.v4.app.BackStackRecord$Op,<init>
Aliasing,Merge1,MAMADROID,android.support.v4.app.Fragment,<clinit>,android.support.v4.util.SimpleArrayMap,<init>
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.app.Activity,getLastNonConfigurationInstance
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.app.Activity,getLayoutInflater
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.support.v4.app.FragmentManagerImpl,attachActivity
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.support.v4.app.FragmentManagerImpl,dispatchCreate
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreateView,android.app.Activity,onCreateView
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreateView,java.lang.String,equals
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,beginTransaction,android.support.v4.app.BackStackRecord,<init>
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,dispatchCreate,android.support.v4.app.FragmentManagerImpl,moveToState
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.os.Handler,post
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.os.Handler,removeCallbacks
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.support.v4.app.FragmentManagerImpl,checkStateLoss
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,<init>
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,add
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,size
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,moveToState,android.support.v4.app.FragmentManagerImpl,moveToState
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils,getParentActivityName,android.app.Activity,getComponentName
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils,getParentActivityName,android.content.Context,getPackageManager
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils$NavUtilsImplJB,getParentActivityName,android.support.v4.app.NavUtils$NavUtilsImplBase,getParentActivityName
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,onContentChanged,android.support.v7.app.ActionBarActivityDelegate,onContentChanged
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,onCreate,android.support.v7.app.ActionBarActivityDelegate,createDelegate
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,setContentView,android.support.v7.app.ActionBarActivityDelegate,setContentView
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,superSetContentView,android.app.Activity,setContentView
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,createDelegate,android.support.v7.app.ActionBarActivityDelegateJBMR2,<init>
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.app.Activity,getComponentName
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.ContextWrapper,getPackageManager
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.Context,obtainStyledAttributes
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,getBoolean
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,hasValue
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,recycle
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.support.v4.app.NavUtils,getParentActivityName
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,createWindowCallbackWrapper,android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper,<init>
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onContentChanged,android.support.v7.app.ActionBarActivity,onSupportContentChanged
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.app.Activity,getWindow
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.app.Activity,requestWindowFeature
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.support.v7.app.ActionBarActivityDelegateICS,createWindowCallbackWrapper
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,java.lang.String,equals
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,setContentView,android.support.v7.app.ActionBarActivity,superSetContentView
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper,onWindowAttributesChanged,android.view.Window$Callback,onWindowAttributesChanged
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,aliasFlowTest,android.telephony.SmsManager,sendTextMessage
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,aliasFlowTest,android.telephony.TelephonyManager,getDeviceId
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentManager,beginTransaction
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,add
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,commit
Aliasing,Merge1,NATIDROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory
Aliasing,Merge1,NATIDROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory
Aliasing,Merge1,NATIDROID,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,NATIDROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo
Aliasing,Merge1,NATIDROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback
Aliasing,Merge1,NATIDROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback
AndroidSpecific,ApplicationModeling1,FlowDroid,edu.mit.application_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,ApplicationModeling1,MAMADROID,edu.mit.application_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,DirectLeak1,FlowDroid,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,DirectLeak1,FlowDroid,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,DirectLeak1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,DirectLeak1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Library2,FlowDroid,de.ecspride.LibClass,getIMEI,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Library2,FlowDroid,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,Library2,MAMADROID,de.ecspride.LibClass,getIMEI,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Library2,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,Obfuscation1,FlowDroid,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,Obfuscation1,FlowDroid,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Obfuscation1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,Obfuscation1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,marshall
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,readValue
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,recycle
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,setDataPosition
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,unmarshall
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,writeValue
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity,writeParcel,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity$Foo,writeToParcel,android.os.Parcel,writeValue
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,android.os.Parcel,readValue
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo,<init>
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo$1,createFromParcel
AndroidSpecific,Parcel1,FlowDroid,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,java.lang.Class,getClassLoader
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,marshall
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,readValue
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,recycle
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,setDataPosition
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,unmarshall
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,writeValue
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo,writeToParcel,android.os.Parcel,writeValue
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,android.os.Parcel,readValue
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo,<init>
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo$1,createFromParcel
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,java.lang.Class,getClassLoader
AndroidSpecific,PrivateDataLeak1,FlowDroid,de.ecspride.PrivateDateLeakage,onRestart,android.view.View,toString
AndroidSpecific,PrivateDataLeak1,FlowDroid,de.ecspride.PrivateDateLeakage,onRestart,android.widget.EditText,getText
AndroidSpecific,PrivateDataLeak1,FlowDroid,de.ecspride.PrivateDateLeakage,sendMessage,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,PrivateDataLeak1,FlowDroid,de.ecspride.PrivateDateLeakage,sendMessage,java.lang.String,toCharArray
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,onRestart,android.view.View,toString
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,onRestart,android.widget.EditText,getText
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,sendMessage,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,sendMessage,java.lang.String,toCharArray
AndroidSpecific,PrivateDataLeak2,FlowDroid,de.ecspride.PrivateDataLeak2,onCreate,android.widget.EditText,getText
AndroidSpecific,PrivateDataLeak2,FlowDroid,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString
AndroidSpecific,PrivateDataLeak2,GATOR,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString
AndroidSpecific,PrivateDataLeak2,MAMADROID,de.ecspride.PrivateDataLeak2,onCreate,android.widget.EditText,getText
AndroidSpecific,PrivateDataLeak2,MAMADROID,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString
AndroidSpecific,PrivateDataLeak2,NATIDROID,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString
AndroidSpecific,PrivateDataLeak3,FlowDroid,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,PrivateDataLeak3,FlowDroid,de.ecspride.MainActivity,onCreate,java.lang.String,getBytes
AndroidSpecific,PrivateDataLeak3,FlowDroid,de.ecspride.MainActivity,onCreateOptionsMenu,android.view.MenuInflater,inflate
AndroidSpecific,PrivateDataLeak3,FlowDroid,de.ecspride.MainActivity,onResume,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,PrivateDataLeak3,FlowDroid,de.ecspride.MainActivity,onResume,java.io.FileInputStream,close
AndroidSpecific,PrivateDataLeak3,FlowDroid,de.ecspride.MainActivity,onResume,java.io.FileInputStream,read
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onCreate,java.lang.String,getBytes
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onCreateOptionsMenu,android.view.MenuInflater,inflate
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onResume,android.telephony.SmsManager,sendTextMessage
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onResume,java.io.FileInputStream,close
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onResume,java.io.FileInputStream,read
AndroidSpecific,PublicAPIField1,FlowDroid,edu.mit.public_api_field.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,PublicAPIField1,FlowDroid,edu.mit.public_api_field.MainActivity,onCreate,java.lang.String,substring
AndroidSpecific,PublicAPIField1,MAMADROID,edu.mit.public_api_field.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,PublicAPIField1,MAMADROID,edu.mit.public_api_field.MainActivity,onCreate,java.lang.String,substring
AndroidSpecific,PublicAPIField2,FlowDroid,edu.mit.icc_intent_class_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
AndroidSpecific,PublicAPIField2,MAMADROID,edu.mit.icc_intent_class_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayAccess1,FlowDroid,de.ecspride.ArrayAccess1,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,ArrayAccess1,FlowDroid,de.ecspride.ArrayAccess1,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayAccess1,MAMADROID,de.ecspride.ArrayAccess1,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,ArrayAccess1,MAMADROID,de.ecspride.ArrayAccess1,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayAccess2,FlowDroid,de.ecspride.ArrayAccess2,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,ArrayAccess2,FlowDroid,de.ecspride.ArrayAccess2,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayAccess2,FlowDroid,de.ecspride.ArrayAccess2,onCreate,de.ecspride.ArrayAccess2,calculateIndex
ArraysAndLists,ArrayAccess2,MAMADROID,de.ecspride.ArrayAccess2,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,ArrayAccess2,MAMADROID,de.ecspride.ArrayAccess2,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayAccess2,MAMADROID,de.ecspride.ArrayAccess2,onCreate,de.ecspride.ArrayAccess2,calculateIndex
ArraysAndLists,ArrayCopy1,FlowDroid,edu.mit.array_copy.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayCopy1,MAMADROID,edu.mit.array_copy.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayToString1,FlowDroid,edu.mit.to_string.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ArrayToString1,MAMADROID,edu.mit.to_string.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,HashMapAccess1,FlowDroid,de.ecspride.HashMapAccess1,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,HashMapAccess1,FlowDroid,de.ecspride.HashMapAccess1,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,HashMapAccess1,MAMADROID,de.ecspride.HashMapAccess1,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,HashMapAccess1,MAMADROID,de.ecspride.HashMapAccess1,onCreate,android.telephony.TelephonyManager,getDeviceId
ArraysAndLists,ListAccess1,FlowDroid,de.ecspride.ListAccess1,onCreate,android.telephony.SmsManager,sendTextMessage
ArraysAndLists,ListAccess1,FlowDroid,de.ecspride.ListAccess1,onCreate,android.telephony.TelephonyManager,getDeviceId
