category,benchmark,tool,caller_class,caller_method,callee_receiver,callee_method,primary_tag,all_tags
Aliasing,Merge1,FLOWDROID,de.ecspride.MainActivity,aliasFlowTest,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
Aliasing,Merge1,FLOWDROID,de.ecspride.MainActivity,aliasFlowTest,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
Aliasing,Merge1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentManager,beginTransaction,other,
Aliasing,Merge1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,add,other,
Aliasing,Merge1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,commit,other,
Aliasing,Merge1,GATOR,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory,other,
Aliasing,Merge1,GATOR,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory,other,
Aliasing,Merge1,GATOR,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo,other,
Aliasing,Merge1,GATOR,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo,other,
Aliasing,Merge1,GATOR,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback,other,
Aliasing,Merge1,GATOR,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,add,android.support.v4.app.BackStackRecord,doAddOp,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,commit,android.support.v4.app.BackStackRecord,commitInternal,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,commitInternal,android.support.v4.app.FragmentManagerImpl,enqueueAction,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,doAddOp,android.support.v4.app.BackStackRecord,addOp,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.BackStackRecord,doAddOp,android.support.v4.app.BackStackRecord$Op,<init>,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.Fragment,<clinit>,android.support.v4.util.SimpleArrayMap,<init>,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.app.Activity,getLastNonConfigurationInstance,component,component
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.app.Activity,getLayoutInflater,component,component
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.support.v4.app.FragmentManagerImpl,attachActivity,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.support.v4.app.FragmentManagerImpl,dispatchCreate,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreateView,android.app.Activity,onCreateView,callback,callback|component|entrypoint
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentActivity,onCreateView,java.lang.String,equals,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,beginTransaction,android.support.v4.app.BackStackRecord,<init>,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,dispatchCreate,android.support.v4.app.FragmentManagerImpl,moveToState,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.os.Handler,post,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.os.Handler,removeCallbacks,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.support.v4.app.FragmentManagerImpl,checkStateLoss,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,<init>,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,add,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,enqueueAction,java.util.ArrayList,size,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.FragmentManagerImpl,moveToState,android.support.v4.app.FragmentManagerImpl,moveToState,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils,getParentActivityName,android.app.Activity,getComponentName,component,component
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils,getParentActivityName,android.content.Context,getPackageManager,ipc,ipc
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo,other,
Aliasing,Merge1,MAMADROID,android.support.v4.app.NavUtils$NavUtilsImplJB,getParentActivityName,android.support.v4.app.NavUtils$NavUtilsImplBase,getParentActivityName,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,onContentChanged,android.support.v7.app.ActionBarActivityDelegate,onContentChanged,callback,callback
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,onCreate,android.support.v7.app.ActionBarActivityDelegate,createDelegate,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,setContentView,android.support.v7.app.ActionBarActivityDelegate,setContentView,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivity,superSetContentView,android.app.Activity,setContentView,component,component
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,createDelegate,android.support.v7.app.ActionBarActivityDelegateJBMR2,<init>,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.app.Activity,getComponentName,component,component
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.ContextWrapper,getPackageManager,ipc,ipc
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.Context,obtainStyledAttributes,ipc,ipc
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,getBoolean,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,hasValue,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.content.res.TypedArray,recycle,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegate,onCreate,android.support.v4.app.NavUtils,getParentActivityName,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,createWindowCallbackWrapper,android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper,<init>,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onContentChanged,android.support.v7.app.ActionBarActivity,onSupportContentChanged,callback,callback|entrypoint
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.app.Activity,getWindow,component,component
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.app.Activity,requestWindowFeature,component,component
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.support.v7.app.ActionBarActivityDelegateICS,createWindowCallbackWrapper,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,java.lang.String,equals,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS,setContentView,android.support.v7.app.ActionBarActivity,superSetContentView,other,
Aliasing,Merge1,MAMADROID,android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper,onWindowAttributesChanged,android.view.Window$Callback,onWindowAttributesChanged,callback,callback
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,aliasFlowTest,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,aliasFlowTest,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentManager,beginTransaction,other,
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,add,other,
Aliasing,Merge1,MAMADROID,de.ecspride.MainActivity,onCreate,android.support.v4.app.FragmentTransaction,commit,other,
Aliasing,Merge1,NATIDROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory,other,
Aliasing,Merge1,NATIDROID,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory,other,
Aliasing,Merge1,NATIDROID,android.support.v4.app.NavUtils,getParentActivityName,android.content.pm.PackageManager,getActivityInfo,other,
Aliasing,Merge1,NATIDROID,android.support.v7.app.ActionBarActivityDelegate,getUiOptionsFromMetadata,android.content.pm.PackageManager,getActivityInfo,other,
Aliasing,Merge1,NATIDROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,getCallback,other,
Aliasing,Merge1,NATIDROID,android.support.v7.app.ActionBarActivityDelegateICS,onCreate,android.view.Window,setCallback,other,
AndroidSpecific,ApplicationModeling1,FLOWDROID,edu.mit.application_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,ApplicationModeling1,MAMADROID,edu.mit.application_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,DirectLeak1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,DirectLeak1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,DirectLeak1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,DirectLeak1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Library2,FLOWDROID,de.ecspride.LibClass,getIMEI,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Library2,FLOWDROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,Library2,MAMADROID,de.ecspride.LibClass,getIMEI,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Library2,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,Obfuscation1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,Obfuscation1,FLOWDROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Obfuscation1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,Obfuscation1,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,marshall,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,readValue,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,recycle,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,setDataPosition,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,unmarshall,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,writeValue,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity,writeParcel,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity$Foo,writeToParcel,android.os.Parcel,writeValue,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,android.os.Parcel,readValue,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo,<init>,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,other,
AndroidSpecific,Parcel1,FLOWDROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,java.lang.Class,getClassLoader,reflection,reflection
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,marshall,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,readValue,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,recycle,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,setDataPosition,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,unmarshall,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.os.Parcel,writeValue,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity,writeParcel,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo,writeToParcel,android.os.Parcel,writeValue,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,android.os.Parcel,readValue,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo,<init>,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,other,
AndroidSpecific,Parcel1,MAMADROID,edu.mit.parcel.MainActivity$Foo$1,createFromParcel,java.lang.Class,getClassLoader,reflection,reflection
AndroidSpecific,PrivateDataLeak1,FLOWDROID,de.ecspride.PrivateDateLeakage,onRestart,android.view.View,toString,other,
AndroidSpecific,PrivateDataLeak1,FLOWDROID,de.ecspride.PrivateDateLeakage,onRestart,android.widget.EditText,getText,other,
AndroidSpecific,PrivateDataLeak1,FLOWDROID,de.ecspride.PrivateDateLeakage,sendMessage,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,PrivateDataLeak1,FLOWDROID,de.ecspride.PrivateDateLeakage,sendMessage,java.lang.String,toCharArray,other,
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,onRestart,android.view.View,toString,other,
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,onRestart,android.widget.EditText,getText,other,
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,sendMessage,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,PrivateDataLeak1,MAMADROID,de.ecspride.PrivateDateLeakage,sendMessage,java.lang.String,toCharArray,other,
AndroidSpecific,PrivateDataLeak2,FLOWDROID,de.ecspride.PrivateDataLeak2,onCreate,android.widget.EditText,getText,other,
AndroidSpecific,PrivateDataLeak2,FLOWDROID,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString,other,
AndroidSpecific,PrivateDataLeak2,GATOR,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString,other,
AndroidSpecific,PrivateDataLeak2,MAMADROID,de.ecspride.PrivateDataLeak2,onCreate,android.widget.EditText,getText,other,
AndroidSpecific,PrivateDataLeak2,MAMADROID,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString,other,
AndroidSpecific,PrivateDataLeak2,NATIDROID,de.ecspride.PrivateDataLeak2,onCreate,java.lang.Object,toString,other,
AndroidSpecific,PrivateDataLeak3,FLOWDROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,PrivateDataLeak3,FLOWDROID,de.ecspride.MainActivity,onCreate,java.lang.String,getBytes,other,
AndroidSpecific,PrivateDataLeak3,FLOWDROID,de.ecspride.MainActivity,onCreateOptionsMenu,android.view.MenuInflater,inflate,other,
AndroidSpecific,PrivateDataLeak3,FLOWDROID,de.ecspride.MainActivity,onResume,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,PrivateDataLeak3,FLOWDROID,de.ecspride.MainActivity,onResume,java.io.FileInputStream,close,other,
AndroidSpecific,PrivateDataLeak3,FLOWDROID,de.ecspride.MainActivity,onResume,java.io.FileInputStream,read,other,
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onCreate,java.lang.String,getBytes,other,
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onCreateOptionsMenu,android.view.MenuInflater,inflate,other,
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onResume,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onResume,java.io.FileInputStream,close,other,
AndroidSpecific,PrivateDataLeak3,MAMADROID,de.ecspride.MainActivity,onResume,java.io.FileInputStream,read,other,
AndroidSpecific,PublicAPIField1,FLOWDROID,edu.mit.public_api_field.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,PublicAPIField1,FLOWDROID,edu.mit.public_api_field.MainActivity,onCreate,java.lang.String,substring,other,
AndroidSpecific,PublicAPIField1,MAMADROID,edu.mit.public_api_field.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,PublicAPIField1,MAMADROID,edu.mit.public_api_field.MainActivity,onCreate,java.lang.String,substring,other,
AndroidSpecific,PublicAPIField2,FLOWDROID,edu.mit.icc_intent_class_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
AndroidSpecific,PublicAPIField2,MAMADROID,edu.mit.icc_intent_class_modeling.MainActivity,onCreate,android.telephony.TelephonyManager,getDeviceId,sensitive_api,sensitive_api|telephony
ArraysAndLists,ArrayAccess1,FLOWDROID,de.ecspride.ArrayAccess1,onCreate,android.telephony.SmsManager,sendTextMessage,sensitive_api,sensitive_api|telephony
